NAME	TITLE	SCORE	
FAM241A		1.4853486	
ANO1		1.4849252	
AC145285.6		1.4837407	
FANK1		1.4797578	
PRSS23		1.477747	
GALNT8		1.4768077	
RHBDL3		1.4763219	
GPC3		1.4757851	
HOXC13		1.4740523	
KLK11		1.4740354	
SGCE		1.473482	
TMEM160		1.4731201	
AC005725.1		1.4719242	
MCTP1		1.4715505	
MUC4		1.4700868	
CILP2		1.4696912	
AC004947.2		1.4679507	
RASD1		1.4674047	
RNF207		1.4668359	
AL138960.1		1.4659499	
AC027020.2		1.464944	
S1PR4		1.4647163	
AC091544.4		1.4640521	
NOV		1.4623818	
GPR25		1.4590329	
HS3ST5		1.4586768	
DOC2B		1.4577963	
TMC8		1.4560888	
GPR171		1.4558045	
CLDN5		1.4544756	
HAGLROS		1.451463	
GPR15		1.4513826	
BARX1		1.450001	
BX284668.5		1.4497995	
SNORA31		1.4474163	
HAL		1.4459518	
MUC2		1.4445337	
DIRAS3		1.4441001	
AC011611.3		1.4403778	
VWA1		1.4383814	
SH2D1A		1.438145	
CHST7		1.4353678	
RASD2		1.4338949	
MT-ND6		1.4334475	
NOP56P3		1.4334078	
MT1A		1.4324019	
P3H2		1.4319335	
KLHDC7A		1.4316986	
HP		1.4288846	
PHLDA1		1.4256828	
AL512625.1		1.4245316	
EFCAB12		1.4231753	
CATSPERB		1.4227486	
SNCAIP		1.4224709	
CD38		1.4220799	
SRR		1.4212334	
PLA2G4A		1.4193537	
AC005586.2		1.4157969	
SV2C		1.4146171	
DMKN		1.4127231	
TNFRSF10A-AS1		1.4119203	
DUSP6		1.4107848	
ZNF362		1.4100245	
LOXL1-AS1		1.4097813	
SNHG25		1.4089732	
MTRNR2L3		1.4071473	
TNFAIP8L3		1.4065772	
CCR10		1.405505	
AC005077.4		1.4046943	
MIER1		1.4045581	
SLC13A3		1.4037513	
PITPNM2-AS1		1.4025016	
TBL1Y		1.4020269	
FCN1		1.3991377	
STOM		1.3972152	
SLC25A21-AS1		1.3960553	
IL18		1.3949044	
AC093424.1		1.3933316	
AC097478.2		1.3922787	
B3GALT2		1.3921294	
TEKT4P2		1.3910232	
STK17B		1.3901817	
CPNE5		1.3899634	
PRTN3		1.3898946	
CFL2		1.3896587	
MADCAM1		1.3890066	
URAD		1.3887153	
SH2D1B		1.3866495	
SRP9P1		1.3847612	
HERC2P3		1.3847252	
MIR3189		1.3825659	
L3HYPDH		1.3813802	
BCAR3		1.3807237	
RNU5A-1		1.3795488	
CRABP2		1.3786688	
TMEM64		1.3784685	
MIR663AHG		1.376486	
LINC02512		1.3758068	
AC104655.1		1.374578	
CAMK2N2		1.3735877	
FAM160B2		1.3724973	
MTERF2		1.3712897	
RNU5B-1		1.370973	
TDRD6		1.3706938	
EIF1P3		1.3703961	
CA1		1.3697408	
AC016877.3		1.3689169	
PSD3		1.3664232	
AC091806.1		1.366302	
TBX18		1.3652581	
SNX24		1.3651314	
TRAV3		1.3647276	
FAM171B		1.3646129	
ANTXR2		1.3635159	
PFN4		1.3627558	
MTATP6P27		1.3625265	
ANO7		1.3618703	
ACRBP		1.3566755	
GLRX		1.3559524	
AP1S2		1.3557149	
AC009704.2		1.3555467	
AC131097.1		1.355524	
GNRH1		1.3548161	
RBM20		1.3542533	
TMEM269		1.3541473	
CCL24		1.3539999	
ARSJ		1.353363	
DMRT2		1.3523031	
PPP4R1L		1.3519362	
PARD6G-AS1		1.3514664	
AC009061.1		1.3511196	
BEGAIN		1.3505173	
CFAP99		1.3495076	
RBPMS		1.3492492	
SBSPON		1.3480163	
MFNG		1.3475753	
GABRB3		1.3457679	
GABRB1		1.3447648	
ST6GALNAC2		1.3444235	
BCO2		1.3429753	
FAM87B		1.3429228	
AL109741.2		1.3410962	
AAED1		1.3406869	
CTNNBIP1		1.3391796	
FBN3		1.3369715	
TANC2		1.3359721	
DPYSL2		1.3355242	
APOLD1		1.3349438	
TTC6		1.3343912	
LGALSL		1.3341465	
CEBPE		1.333844	
AL132656.2		1.3337662	
GDF15		1.332602	
AC010478.1		1.33213	
ELL2		1.33177	
NRCAM		1.331277	
SHISAL2B		1.3300263	
AL031429.2		1.329662	
NOC2LP1		1.3277233	
SCARNA22		1.3273427	
CFI		1.3272442	
ERI1		1.3267964	
IQUB		1.3260286	
CFAP54		1.3251591	
AC079315.1		1.324991	
NOP56P1		1.3247844	
POU3F3		1.3242306	
CACNA1B		1.3241597	
AC013472.3		1.3227315	
PYGL		1.3226563	
AC090589.1		1.3212976	
TNFRSF10B		1.3209835	
KIF13B		1.3197012	
PRORSD1P		1.3160422	
TPSG1		1.3152586	
LOXL1		1.3147062	
POU6F1		1.3131512	
AC093677.2		1.3128533	
GPR55		1.3124354	
NFATC4		1.3110932	
AKAP3		1.3071617	
IL31RA		1.3061811	
RIMBP2		1.3051586	
CHST2		1.3045093	
SERPINA6		1.3036414	
SAA1		1.3036242	
SLC38A2		1.3008878	
SEMG2		1.300707	
RFX8		1.2978705	
LINC00582		1.2977312	
TRHDE-AS1		1.2976136	
AC124319.1		1.2968972	
NCMAP		1.2961081	
AL512274.1		1.2930495	
CRACR2B		1.2929856	
C4orf48		1.292429	
AC136475.3		1.2908186	
TAS1R3		1.2899953	
AL121929.2		1.2896043	
PML		1.2890215	
ODF3B		1.288479	
ARL9		1.287123	
C16orf54		1.2849698	
AC005162.3		1.2837989	
OR2W3		1.2832326	
CNTN5		1.2825546	
DIO3		1.2807163	
REC8		1.2784204	
AC018695.1		1.2776202	
ZPLD1		1.2772048	
TP53INP1		1.2771009	
CDC20B		1.2761537	
MT2A		1.2745345	
RNA5SP149		1.2721996	
DERL3		1.2716175	
FAM102A		1.2702003	
MAST4-AS1		1.2697737	
CDKN2A		1.2666593	
DNAAF3		1.2659203	
SLCO2A1		1.2656521	
CA7		1.2654488	
PGLYRP2		1.2652937	
AC025154.2		1.2652926	
RAB39B		1.2646968	
DNAJC18		1.2644886	
CHADL		1.2635025	
AL031283.1		1.2627486	
AC048382.2		1.2598401	
VSTM2A		1.259263	
SS18		1.2591324	
AC093732.1		1.2563922	
ZYG11A		1.2562664	
HOXC4		1.2562374	
FAM229A		1.2555444	
EVI2A		1.2544718	
LINC01550		1.2539357	
NAT8L		1.2538334	
AC092611.1		1.2523416	
TGFA		1.252183	
PLXND1		1.2519567	
PPFIBP1		1.2510098	
GIPR		1.2502639	
AL353693.1		1.2478445	
AC069120.1		1.246948	
ASPRV1		1.2460097	
AP006545.2		1.245462	
AL162739.1		1.2374357	
C12orf56		1.2370712	
PAX6		1.2362623	
ARSB		1.2357863	
ARHGEF3		1.2355341	
GLDC		1.2347122	
SETP3		1.2298933	
AL671986.1		1.227823	
PDE11A		1.2252798	
AC006946.2		1.2250867	
NTSR1		1.2244804	
AC102945.2		1.2227947	
AC009093.3		1.2215173	
AC005632.2		1.2189723	
CYP1B1		1.218904	
AC068888.1		1.2185816	
AL160279.1		1.2172847	
TMOD1		1.2172799	
AC241377.3		1.2172318	
LINC01281		1.2168957	
EPB41L3		1.2166781	
AL731567.1		1.2147058	
SPECC1		1.2129835	
KLK10		1.2126585	
FSCN1		1.2125365	
MT2P1		1.2099868	
AC022893.2		1.2082713	
RNF11		1.2078854	
AC020922.3		1.2077308	
ELN-AS1		1.205946	
KLHDC9		1.2058774	
C1RL		1.2036805	
AL390198.1		1.2032979	
LINC01759		1.203088	
AC142381.1		1.2028188	
EPHX1		1.2027789	
PDE3A		1.2027489	
AC024619.4		1.202652	
PNMA1		1.2007995	
LINC00639		1.2007538	
IRS3P		1.199634	
CCDC151		1.1990151	
DYNC1I1		1.1988491	
TINAGL1		1.1982204	
QRFP		1.1977681	
AC091042.1		1.1974423	
ITGB7		1.1971396	
FOXD1		1.1963794	
AC007389.1		1.1946433	
KLRC3		1.1946212	
BMP6		1.1936656	
ANXA10		1.1931505	
RNA5SP370		1.1931399	
ANKRD36BP2		1.1927145	
AC023794.5		1.1924298	
THEM5		1.1920687	
DCLK2		1.1909239	
SMIM27		1.1898475	
GPX1P1		1.1895427	
PPARGC1A		1.189335	
TPTE2		1.189168	
BBOX1		1.1882412	
GALNT6		1.1877866	
HRH4		1.1874236	
PCDHGB9P		1.1865747	
AL031281.1		1.1865349	
RNA5SP141		1.1860139	
PCM1		1.1858488	
AC011611.2		1.1856179	
CALML6		1.1854606	
KLRB1		1.1842265	
CHRM1		1.1826377	
AL159169.2		1.181732	
AC079331.2		1.180585	
VSIG2		1.1805172	
TRIM58		1.1797394	
NRADDP		1.1796433	
CMTM2		1.1786861	
BX255925.1		1.1778919	
FYB2		1.1778303	
MIR3142HG		1.1777984	
MPO		1.176786	
PLPPR1		1.1763703	
DRC3		1.1754869	
AL645608.4		1.1752955	
UGT3A2		1.1747311	
CBY3		1.1745427	
LINC02490		1.1731765	
SARAF		1.1730449	
EVX2		1.1730145	
MT-TY		1.1728064	
RLBP1		1.1720287	
PRKAR2B		1.1714668	
POLR3G		1.1705124	
SYT12		1.1704911	
AC020910.5		1.1695037	
MUC5B		1.16877	
OR2I1P		1.16835	
AC015961.2		1.1681032	
AC074029.3		1.1661563	
LAMP3		1.1648598	
NAPG		1.1639622	
SYT5		1.1631764	
FAS		1.1627373	
AC007000.3		1.1627228	
AC079753.1		1.1618648	
AC068792.1		1.1609423	
MTND5P11		1.1602982	
TMEM88		1.1595492	
SERPINB9P1		1.1577166	
TBC1D2		1.1571965	
KPNA5		1.1556203	
TRBJ2-3		1.1555269	
TFF1		1.1538061	
BNIP3L		1.1535215	
DNM1P46		1.1533802	
ALOX5		1.1533206	
TRBV15		1.1528456	
PDCD4-AS1		1.151532	
AC108865.1		1.1514543	
LINC00607		1.1501392	
FBXO43		1.1494135	
STX17-AS1		1.1491878	
RBMS2		1.1485552	
DNAH10		1.1462293	
RNA5S9		1.1459587	
WNT10B		1.1456801	
CA3-AS1		1.1449405	
AC106897.1		1.1444612	
TOLLIP-AS1		1.1437953	
DEFA5		1.1415147	
PPP2R2B		1.1414497	
DRP2		1.1405917	
ABCA13		1.140365	
SLC47A2		1.1388025	
AC002066.1		1.1375868	
TMEM263		1.1358502	
PLPPR3		1.1354789	
TRPM8		1.1342626	
SERPINE1		1.1342487	
RAD51AP2		1.133544	
LINC00683		1.1333855	
AQP2		1.1321857	
FAM110C		1.1319767	
MIR4458HG		1.1319487	
THAP7-AS1		1.1309274	
AC009220.1		1.1302526	
FEZ2		1.1271105	
SMIM32		1.1267725	
GLIDR		1.1265681	
GJC2		1.1259791	
ITGB6		1.1255887	
AC069277.1		1.1255046	
AFAP1L2		1.1250066	
CCNJL		1.1240786	
MAN1B1-AS1		1.1229999	
NRAP		1.1228342	
CBX5		1.1208336	
C3orf36		1.1194957	
AL078604.2		1.119206	
CDK17		1.1174588	
CCDC190		1.1148204	
AC246787.2		1.1143416	
STEAP4		1.1142925	
SNORD38A		1.1139898	
AL139339.1		1.1115274	
AC005224.1		1.1113819	
DOCK5		1.1105335	
FAXDC2		1.1101831	
SRP54-AS1		1.109357	
AC023090.2		1.1090177	
CD163L1		1.107693	
PURPL		1.1075578	
AC009506.1		1.1073096	
DLEC1		1.1057845	
KRT16P2		1.1053394	
CD209		1.10458	
SERPINA1		1.104008	
AC078820.1		1.1039554	
AP001267.3		1.1036285	
FCGR3B		1.10332	
CGNL1		1.1021932	
AC140076.1		1.1019251	
AC011483.1		1.1016513	
TMEM245		1.1015812	
AP001282.1		1.1008334	
AP000787.1		1.1004283	
AL445248.1		1.100129	
CCDC173		1.0999707	
CDKN2B		1.0999036	
ABCG5		1.0997651	
AJM1		1.0997156	
SNRPGP10		1.0992345	
MT-TV		1.0991604	
PCCA		1.0989215	
TRAV20		1.0988376	
MARK1		1.0981109	
AC015813.7		1.0978677	
AQP6		1.0965453	
TMX3		1.0963427	
CITED2		1.0958638	
BX284668.4		1.093777	
FFAR3		1.0926628	
AC018553.1		1.092435	
AC012555.1		1.0921584	
GPT		1.0899884	
RAB23		1.0899242	
ARL4AP2		1.0897154	
WDR78		1.0883325	
ENAM		1.0874704	
KCNA3		1.0861752	
RBP3		1.0853084	
CAV1		1.0851021	
VNN1		1.083567	
LINC01806		1.083529	
ELK3		1.0826828	
ABCA7		1.0816983	
AL358394.1		1.0806929	
AC016717.2		1.0804616	
AC015660.1		1.0800363	
AC087072.1		1.0800194	
BDNF		1.0796853	
KCNQ4		1.0792451	
FOXN3-AS1		1.0788524	
PCDHGB4		1.0784476	
SGMS1		1.0780994	
FSD1L		1.0777622	
SELE		1.0776626	
NXPH3		1.0764896	
AC026979.1		1.0761158	
CASS4		1.0741674	
ENDOG		1.0741482	
AC099548.2		1.0730486	
KRT80		1.072207	
IGFBP6		1.0722051	
CCDC107		1.0706908	
CD5		1.0702384	
AC104699.1		1.070093	
FP565260.6		1.0695776	
HILS1		1.069454	
AL365181.2		1.0690815	
LINC02516		1.0683516	
CMAHP		1.0682992	
PCDHB14		1.0676159	
FOXA1		1.0674825	
GPAT3		1.0668623	
NKX3-1		1.0667608	
AP000902.1		1.0651554	
AC110619.1		1.0649872	
NPAS3		1.0645365	
FOXP2		1.0644957	
DBN1		1.0642787	
TRAV14DV4		1.0637167	
DLG4		1.0636077	
LINC01559		1.0633533	
AL928742.1		1.0630945	
LINC01303		1.0629872	
PCDHB9		1.0623082	
ADAM1B		1.0622919	
DEFB4A		1.0618466	
CEP85L		1.0618178	
SOX15		1.0613114	
AC010998.3		1.0609767	
MEX3C		1.060655	
LINC01841		1.0606285	
PLTP		1.0605981	
ADSSL1		1.0605892	
AC018413.1		1.0601718	
TRAPPC8		1.0581194	
MRPL33		1.0577655	
DLX2		1.0571811	
CAST		1.0565355	
SPTB		1.0564473	
AC009090.3		1.0564163	
ENPP2		1.056206	
PTCHD4		1.0559393	
AC004241.1		1.05501	
SYCE3		1.0541718	
NELL2		1.0536867	
HOXD-AS2		1.0531898	
CPEB4		1.0523441	
GNPTAB		1.0520248	
P2RX1		1.0517106	
C9orf116		1.0516926	
SELENOP		1.0514159	
CCDC129		1.0504113	
AC018450.1		1.0504096	
NYAP1		1.0501335	
PTGDS		1.0496206	
FAM171A2		1.0490865	
AL117344.1		1.0478317	
PEX6		1.0460931	
STEAP2		1.0456647	
CD274		1.0444686	
RTN2		1.0437318	
RGS5		1.0428334	
AL590705.1		1.0422945	
CLEC18B		1.0419183	
HES4		1.0413404	
PNRC1		1.0411402	
EXTL3		1.0407256	
ABCD2		1.0406958	
HOMER3-AS1		1.0402628	
AP001816.1		1.0392252	
AL162725.2		1.0391577	
FAIM2		1.0388876	
AC012671.1		1.0388612	
FAM83D		1.0381672	
AC022182.1		1.0381186	
ODAM		1.0378149	
AC004080.2		1.0375627	
SLC4A11		1.0374056	
AGER		1.0370315	
FRS2		1.0366681	
BMPR1B		1.0365069	
MTND4LP30		1.0357516	
RIBC1		1.0339061	
TRAV12-1		1.0319144	
AC091544.2		1.0316277	
MERTK		1.0314785	
TREH		1.0313255	
C8orf34-AS1		1.0310961	
AC091185.1		1.0281341	
HMX3		1.0279331	
GPR27		1.0273643	
CERS6-AS1		1.0262121	
FAM86B1		1.0260412	
AC084782.3		1.0258939	
AC106047.1		1.0256283	
SVILP1		1.0248529	
COL4A5		1.0241565	
AIRE		1.0241115	
PPP3CA		1.0237768	
CHAT		1.0229771	
MMP25		1.022247	
AC011446.1		1.0212201	
AL031283.3		1.0211626	
SPRR1B		1.0210421	
AC211486.1		1.0208681	
AL512844.1		1.0205112	
AC115837.1		1.0196757	
AL079303.1		1.0194366	
CWH43		1.0187125	
ALDH1L1		1.0180273	
AC020907.1		1.0172007	
MIPOL1		1.0170168	
SERPINA3		1.0167245	
GFY		1.0165862	
APCDD1L		1.0149074	
SP8		1.0147715	
AL020996.1		1.0143452	
CAP1P2		1.0142051	
EXPH5		1.0140963	
ADRB1		1.014083	
CORO2B		1.0132505	
PLCL2		1.0115888	
HELB		1.0114365	
LAT		1.0105517	
GJB7		1.0096402	
FAM46C		1.0094147	
LGI2		1.0093384	
SCOCP1		1.0084687	
AC011825.4		1.0080075	
RTL8A		1.0077702	
YBX1P6		1.0077075	
SEMA3A		1.007494	
CSPG5		1.0065583	
WIPF3		1.0063603	
GUCY2D		1.0061436	
CCNG2		1.0060227	
ITM2A		1.005292	
AC131097.3		1.0044008	
S1PR5		1.0043654	
CCDC88A		1.0035348	
IRX3		1.0023814	
TTLL7		1.0013238	
NMU		1.0011116	
DEFA6		0.9995124	
AC104964.4		0.9991165	
ACYP2		0.9990906	
PDGFD		0.99806666	
RNA5SP202		0.99697274	
C18orf54		0.9966673	
AC012236.1		0.99638575	
HPR		0.99627703	
GZMB		0.9959764	
MCOLN3		0.99571425	
MEI1		0.9954707	
VEZT		0.9947309	
SNHG26		0.99380475	
CCDC152		0.9935077	
MUC7		0.9930981	
LUCAT1		0.99261147	
ACADM		0.9922154	
AL512422.1		0.9920914	
RASA4DP		0.9920619	
AC009509.4		0.9916026	
SELENBP1		0.99112827	
LINC02320		0.9902962	
HCG4B		0.9898798	
NOS3		0.98984146	
LINC00346		0.98923206	
SYNDIG1L		0.98878527	
MGARP		0.98863304	
AL390726.5		0.9883917	
MBNL2		0.9875485	
SDAD1P1		0.98747915	
NRG4		0.98570895	
GJD3		0.98476315	
RF01183		0.9847444	
AL590609.2		0.98411626	
AC135803.1		0.9837712	
ACOT2		0.9833207	
AC093901.1		0.9831033	
AC124916.1		0.9830108	
KIF28P		0.9830081	
DHRS3		0.9822439	
LYNX1		0.9822294	
ARL4C		0.9817829	
OR7E158P		0.981633	
GREB1		0.9815792	
PLXNB3		0.98139465	
GNG7		0.9792699	
TULP2		0.97849506	
C17orf82		0.97849166	
TMPRSS9		0.977921	
ZNF204P		0.9774639	
DNASE1L3		0.97675735	
CLDN11		0.9764451	
AL034397.3		0.9761389	
ARNTL2		0.97591263	
TMCC2		0.9756817	
CALB2		0.9756239	
PFN2		0.975353	
KLHL42		0.9752702	
SCYL2		0.97499645	
AC093627.7		0.97364056	
SLC6A16		0.97357297	
LINC00484		0.9734997	
AC073592.2		0.9734739	
SRPK3		0.9733722	
MRPS30-DT		0.97332764	
LINC01629		0.97329754	
GRM7		0.9729742	
SOAT2		0.97243416	
AC026523.2		0.97170407	
DNAJC28		0.97144514	
C14orf28		0.97081107	
PDK1		0.9707442	
RGS18		0.9698779	
